win_width,win_step,nb_species,nb_replic,f_opt_max,seqgen_par0,seqgen_par1,seqgen_par2,scaling_factor0,scaling_factor1,scaling_factor2,lv_q_func_ratio_avg,lv_rand_ratio_avg
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",6.0,1,1,1.11885511903203,0.995170475177087
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",7.0,1,1,1.10110982617156,1.0013443176252
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",8.0,1,1,1.12466912665838,0.980057868358368
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",9.0,1,1,1.11081164747604,0.984775210187511
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",10.0,1,1,1.07018726005493,0.987009596683363
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.1,1,1,6.17959397054428,0.98435174748961
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.11,1,1,5.49614300505465,0.988893678935024
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.13,1,1,4.76140531663138,0.983685836026128
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.14,1,1,4.27948550734889,0.989877224157257
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.17,1,1,3.42587662843372,0.972756347822393
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.2,1,1,2.75843581513409,0.972176468615796
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.25,1,1,2.37944466040665,0.979674406782465
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.33,1,1,1.83776654410271,0.994468899857741
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.5,1,1,1.3002264459521,0.977852154450266
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",1.0,1,1,1.03100390889973,0.995677170602379
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",2.0,1,1,0.992094974911436,0.99783549479856
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",3.0,1,1,1.01305663669913,0.99601360651222
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",4.0,1,1,1.08134143972061,0.990942413145266
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",5.0,1,1,1.07738792523075,0.995207581404161
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",6.0,1,1,1.05941883915029,0.990333987091398
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",7.0,1,1,1.08594766640462,0.990241880712357
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",8.0,1,1,1.0991812289884,0.992051422424466
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",9.0,1,1,1.04389731182916,0.99610811684934
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",10.0,1,1,1.03585994263886,0.997439850378309
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",0.1,1,1,4.9533054019851,0.994535666562901
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",0.11,1,1,3.99133674410081,0.992749391977961
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",0.13,1,1,3.23282218574395,0.979778347196249
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",0.14,1,1,3.00190566366043,0.985793162074048
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",0.17,1,1,2.41412609930873,0.98803489531837
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",0.2,1,1,2.17554764910704,0.981847693534704
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",0.25,1,1,1.59815455437532,0.994475927172596
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",0.33,1,1,1.4535570729105,0.993147322714186
